Name;Age;Nat;Team;Game Played;Goal;Assist;Points;Plus Minus;Position1;Salary;TOI.GP;PIM;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;sDist;SA;Grit;iBLK;BLK.;iSCF;SF;SH.;SCA;FO.;X.FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL
Tyler Bozak;30;CAN;TOR;78;18;37;55;-1;C;4500000;16.5;30;1;1;0;6;1;0;8;11;3;7;45;12;0;66;23.8;643;101;26;0.023;84;787;0.112;184;0.567;0.957;216;191;191;153;360;246
Derick Brassard;29;CAN;OTT;81;14;25;39;12;C;5000000;17.4;24;1;0;2;2;1;0;8;14;4;27;35;12;4;99;33.2;572;140;24;0.022;52;818;0.092;156;0.5;0.837;190;179;193;203;229;231
Justin Braun;29;USA;S.J;81;4;9;13;1;D;3800000;20;28;1;0;0;1;0;0;2;3;0;24;9;0;0;59;54.7;790;325;161;0.096;4;605;0.079;249;0;0;0;0;0;0;0;0
T.J. Brodie;26;CAN;CGY;82;6;30;36;-16;D;4838000;23.5;24;3;0;1;0;0;0;2;7;0;21;12;0;0;38;42.2;819;169;115;0.073;8;892;0.087;280;0;0;0;0;0;0;0;0
Jonas Brodin;23;SWE;MIN;68;3;22;25;5;D;4000000;19.5;20;0;0;0;0;0;0;3;1;0;37;7;0;0;40;53;625;129;89;0.076;5;641;0.098;140;0;0;0;0;0;0;0;0
Kyle Brodziak;32;CAN;STL;69;8;7;15;2;C;1000000;11.2;27;1;0;0;0;1;0;6;4;2;4;3;3;1;38;29.3;414;123;39;0.05;17;274;0.099;111;0.495;0.921;167;187;113;106;43;37
Jonny Brodzinski;23;USA;L.A;6;0;2;2;2;C;925000;12.3;2;0;0;0;0;0;0;0;1;0;2;8;0;1;5;33.2;27;16;4;0.08;5;47;0.064;10;0;0;0;0;0;0;0;0
Troy Brouwer;31;CAN;CGY;74;13;12;25;-11;RW;4500000;16.2;31;0;0;1;1;4;0;6;5;0;10;5;14;0;52;27.6;640;242;39;0.034;47;550;0.098;166;0.313;0.051;11;19;2;7;7;18
Connor Brown;22;CAN;TOR;82;20;16;36;3;RW;650000;16.1;10;1;0;0;4;2;0;13;11;2;7;43;7;0;68;27.5;713;106;46;0.034;62;636;0.105;226;0.25;0.005;1;4;1;1;0;0
Dustin Brown;32;USA;L.A;80;14;22;36;-4;RW;7000000;16;22;1;0;0;4;2;0;7;15;1;5;39;13;2;100;28.2;577;243;31;0.028;73;649;0.085;184;0.4;0.004;2;2;0;0;0;1
J.T. Brown;26;USA;T.B;64;3;3;6;-7;RW;1250000;10.4;73;0;0;0;1;0;0;2;5;0;4;8;3;0;47;33.3;338;208;25;0.039;19;274;0.04;69;0.316;0.062;3;4;5;10;4;12
Patrick Brown;24;USA;CAR;14;0;0;0;-6;C;650000;9.7;0;0;0;0;0;0;0;0;1;0;4;2;1;0;4;34.4;54;35;5;0.041;2;44;0.023;17;0.6;0.152;1;1;3;4;5;1
Pavel Buchnevich;21;RUS;NYR;41;8;12;20;6;RW;925000;13.3;13;0;0;1;1;1;0;5;4;0;7;8;2;0;34;31;258;39;8;0.018;19;290;0.117;56;0.143;0.013;1;0;0;1;0;5
Andre Burakovsky;21;SWE;WSH;64;12;23;35;13;LW;832500;13.3;14;0;0;0;2;1;0;9;3;1;5;18;3;0;81;30.4;363;70;25;0.037;36;471;0.093;108;0.286;0.01;0;0;0;0;2;5
Erik Burgdoerfer;28;USA;BUF;2;0;0;0;-1;D;575000;11.2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;61.5;9;5;0;0;0;11;0;3;0;0;0;0;0;0;0;0
Alex Burmistrov;25;RUS;ARI;49;5;11;16;-7;C;1600000;13.3;12;1;0;0;0;0;0;4;3;0;6;5;2;0;29;35.3;346;91;19;0.03;17;257;0.093;99;0.407;0.789;52;99;71;96;55;64
Brent Burns;31;CAN;S.J;82;29;47;76;19;D;5760000;24.8;40;1;0;8;7;0;0;13;8;3;78;77;1;0;154;49.8;922;251;142;0.077;35;1176;0.099;315;0;0;0;0;0;0;0;0
Alex Burrows;35;CAN;OTT;75;15;16;31;3;LW;3000000;14.6;62;2;0;2;2;0;0;9;12;6;18;15;7;1;84;33;597;166;34;0.032;46;514;0.088;180;0.357;0.012;0;1;1;1;4;7
Chris Butler;30;USA;STL;1;0;0;0;0;D;600000;21.5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;52;15;2;2;0.08;0;5;0.2;5;0;0;0;0;0;0;0;0
Dustin Byfuglien;31;USA;WPG;80;13;39;52;10;D;8000000;27.2;117;2;0;2;2;0;1;6;10;3;107;17;1;9;94;46.2;1042;427;124;0.066;35;1138;0.097;326;0;0;0;0;0;0;0;0
Paul Byron;27;CAN;MTL;81;22;21;43;21;LW;1300000;15.1;29;6;2;0;3;2;0;9;21;4;2;6;14;1;48;21;595;183;34;0.031;61;574;0.105;189;0.667;0.011;1;0;4;3;5;2
Drake Caggiula;22;CAN;EDM;60;7;11;18;3;LW;925000;13.2;16;2;0;0;2;1;0;2;10;0;3;22;16;0;42;27.1;338;132;19;0.028;50;401;0.082;100;0.412;0.418;33;45;49;68;35;54
Mitch Callahan;25;USA;DET;4;0;0;0;0;RW;600000;6.8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;53;8;5;2;0.125;1;7;0;4;0;0;0;0;0;0;0;0
Ryan Callahan;31;USA;T.B;18;2;2;4;-4;RW;6500000;14.1;23;0;0;0;0;1;0;1;2;0;4;3;2;0;11;34.2;166;85;13;0.044;8;112;0.063;52;0.556;0.031;1;2;0;0;4;2
Matt Calvert;27;CAN;CBJ;65;10;5;15;-4;LW;2200000;13.3;48;1;0;0;4;2;0;3;11;1;3;26;5;4;42;25;474;145;34;0.038;46;352;0.085;174;0.125;0.019;1;3;0;4;1;7
Mike Cammalleri;34;CAN;N.J;61;10;21;31;-9;LW;5000000;17.3;21;0;0;2;5;0;0;3;10;0;30;50;2;0;50;29.9;471;80;14;0.017;34;516;0.091;137;0.607;0.029;1;1;4;1;12;9
Brian Campbell;37;CAN;CHI;80;5;12;17;12;D;1500000;18.4;24;0;0;2;0;0;0;2;2;0;32;9;1;0;30;46.1;730;150;83;0.065;7;728;0.098;197;0;0;0;0;0;0;0;0
Patrick Cannone;30;USA;MIN;3;0;0;0;0;C;600000;7.9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;19;12;3;1;0.037;1;10;0.1;4;0.524;1;2;1;4;5;5;4
Paul Carey;28;USA;WSH;6;0;0;0;-2;C;575000;10.5;0;0;0;0;0;0;0;0;1;0;0;2;0;0;5;48.1;24;6;1;0.019;2;26;0;12;0;0;0;0;0;0;0;0
Matt Carle;32;USA;NSH;6;0;1;1;-1;D;NA;13.1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;56.5;36;8;5;0.071;0;33;0.091;13;0;0;0;0;0;0;0;0
Brandon Carlo;20;USA;BOS;82;6;10;16;9;D;717500;20.8;59;1;0;3;1;0;0;1;2;0;30;17;0;0;39;54.5;891;262;115;0.07;5;845;0.085;240;0;0;0;0;0;0;0;0
John Carlson;26;USA;WSH;72;9;28;37;7;D;4000000;22.7;10;1;1;4;1;0;0;2;5;3;92;22;1;0;57;50.7;772;195;127;0.082;27;793;0.096;304;0;0;0;0;0;0;0;0
Gabriel Carlsson;19;SWE;CBJ;2;0;1;1;-2;D;925000;17.1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;60.3;13;7;2;0.071;0;20;0.1;2;0;0;0;0;0;0;0;0
Ryan Carpenter;25;USA;S.J;11;2;2;4;5;C;600000;10.4;4;0;0;1;0;0;0;1;2;0;2;1;1;1;13;28.4;53;21;2;0.02;3;62;0.097;11;0.453;0.904;13;12;8;18;13;11
Daniel Carr;25;CAN;MTL;33;2;7;9;4;LW;725000;10.2;6;0;0;1;0;1;0;0;4;1;2;5;5;4;23;25.8;140;37;12;0.045;25;163;0.08;36;0.667;0.01;0;0;1;0;1;1
Connor Carrick;22;USA;TOR;67;2;6;8;8;D;650000;16.4;51;0;0;0;1;0;0;1;2;0;20;31;1;0;35;49.4;558;197;79;0.079;6;618;0.089;142;0;0;0;0;0;0;0;0
Alex Carrier;20;CAN;NSH;2;0;0;0;1;D;640000;10.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;9;1;1;0.063;0;7;0.143;0;0;0;0;0;0;0;0;0
William Carrier;22;CAN;BUF;41;5;3;8;-1;LW;650000;9;21;0;0;0;1;2;0;2;8;2;4;6;6;2;22;28.2;199;144;10;0.03;18;188;0.053;42;0.5;0.005;0;1;1;0;0;0
Jeff Carter;31;CAN;L.A;82;32;34;66;2;C;7000000;18;41;1;1;0;8;4;0;18;26;1;12;50;16;2;143;31.3;640;165;37;0.03;92;880;0.097;207;0.519;0.847;231;213;218;201;286;266
Cody Ceci;23;CAN;OTT;79;2;15;17;-11;D;2250000;23.2;20;0;0;1;0;0;0;1;2;0;49;12;0;1;79;52.4;997;290;159;0.08;7;757;0.074;280;1;0.001;1;0;0;0;0;0
Peter Cehlarik;21;SVK;BOS;11;0;2;2;0;LW;692500;13.9;0;0;0;0;0;0;0;0;1;0;0;3;0;0;4;19.4;58;11;4;0.032;9;77;0.104;22;0.667;0.018;0;0;0;0;2;1
Thomas Chabot;19;CAN;OTT;1;0;0;0;-2;D;925000;7.2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;43;8;1;0;0;0;5;0;3;0;0;0;0;0;0;0;0
Michael Chaput;24;CAN;VAN;68;4;5;9;-12;C;600000;11;29;0;1;2;0;0;0;1;5;5;5;5;4;0;40;28.4;409;127;29;0.04;29;339;0.047;102;0.527;0.595;61;60;86;70;56;52
Zdeno Chara;39;SVK;BOS;75;9;19;29;18;D;5000000;23.2;59;0;0;3;4;0;0;2;6;0;47;28;0;1;53;53.8;905;332;140;0.081;10;861;0.092;268;0;0.001;0;0;0;1;0;0
Ben Chiarot;25;CAN;WPG;59;2;10;12;2;D;850000;15.3;33;2;0;0;0;0;0;0;2;0;20;5;0;1;21;56.3;530;206;94;0.1;8;365;0.096;168;0;0;0;0;0;0;0;0
