Name;Age;Nat;Team;Game Played;Goal;Assist;Points;Plus Minus;Position1;Salary;TOI.GP;PIM;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;sDist;SA;Grit;iBLK;BLK.;iSCF;SF;SH.;SCA;FO.;X.FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL
Byron Froese;25;CAN;T.B;6;0;0;0;-3;C;575000;10.6;5;0;0;0;0;0;0;0;0;0;1;2;0;0;3;36.5;26;13;4;0.063;1;27;0;10;0.464;1;10;12;8;7;8;11
Michael Frolik;28;CZE;CGY;82;17;27;44;13;RW;5000000;17.1;58;2;1;0;0;0;0;14;36;1;13;20;6;0;126;32.6;633;166;48;0.04;56;760;0.092;235;0.448;0.02;6;5;1;6;6;5
Marian Gaborik;34;SVK;L.A;56;10;11;21;-4;RW;6075000;14.8;18;2;0;0;1;0;0;7;11;0;11;21;9;0;71;27.2;344;54;15;0.024;45;480;0.073;89;0;0.001;0;0;0;0;0;1
Kurtis Gabriel;23;CAN;MIN;13;0;1;1;0;RW;725000;5.8;29;0;0;0;0;0;0;0;1;0;0;1;0;0;1;39.3;46;61;1;0.012;1;23;0.087;8;0;0;0;0;0;0;0;0
Sam Gagner;27;CAN;CBJ;81;18;32;50;10;C;650000;13.7;22;2;0;3;4;4;0;5;13;1;27;42;15;1;80;34.4;426;60;16;0.02;67;715;0.103;124;0.475;0.437;43;40;37;53;122;130
Alex Galchenyuk;22;USA;MTL;61;17;27;44;-5;C;3100000;15.9;24;1;0;5;2;1;0;8;9;0;8;18;3;2;64;27.3;492;92;32;0.037;45;541;0.111;135;0.427;0.719;32;60;91;129;151;179
Brendan Gallagher;24;CAN;MTL;64;10;19;29;7;RW;4500000;15.1;39;0;0;0;2;3;1;4;20;1;10;21;14;2;119;25.9;410;124;15;0.019;74;600;0.082;129;0.405;0.072;2;0;3;9;25;35
Ryan Garbutt;31;CAN;ANA;27;2;1;3;-3;C;2000000;9.2;20;0;0;0;1;0;0;1;2;0;3;7;1;0;13;34.5;139;85;12;0.045;7;97;0.072;38;0.636;0.048;1;0;3;0;3;4
Jake Gardiner;26;USA;TOR;82;9;34;43;24;D;4050000;21.4;34;0;0;3;3;0;0;3;1;0;57;36;0;1;32;53.6;825;186;83;0.055;11;1024;0.107;226;0;0;0;0;0;0;0;0
Jason Garrison;32;CAN;T.B;70;1;8;9;-8;D;3600000;18.6;14;0;0;0;0;0;0;1;2;0;38;8;1;0;47;53.9;720;198;91;0.07;2;537;0.069;181;0;0;0;0;0;0;0;0
Tyler Gaudet;23;CAN;ARI;4;0;1;1;0;C;874125;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;59;31;4;1;0.015;1;10;0.1;13;0.4;0.814;5;15;7;3;2;3
Frederick Gaudreau;23;CAN;NSH;9;0;1;1;1;C;595000;8.7;0;0;0;0;0;0;0;0;1;0;2;3;0;0;2;29;40;6;5;0.062;3;47;0.085;6;0.333;0.136;1;2;1;2;2;4
Johnny Gaudreau;23;USA;CGY;72;18;43;61;-7;LW;6750000;18.4;4;3;0;1;3;2;2;7;25;2;19;13;10;5;108;25.9;555;27;14;0.014;53;780;0.097;156;0;0;0;0;0;0;0;0
Brendan Gaunce;22;CAN;VAN;57;0;5;5;-2;C;832500;9.5;33;0;0;0;0;0;0;0;5;2;0;3;0;3;38;29.9;262;140;12;0.025;10;245;0.049;77;0.512;0.37;29;27;31;32;24;21
Cameron Gaunce;26;CAN;PIT;12;1;3;4;1;D;575000;12.5;13;0;0;1;0;0;0;0;0;0;3;0;0;0;5;52.5;76;47;10;0.064;1;78;0.077;18;0;0;0;0;0;0;0;0
Frederik Gauthier;21;CAN;TOR;21;2;1;3;2;C;832500;9.7;23;0;0;0;0;0;0;2;3;1;0;2;2;0;7;25.5;106;58;17;0.082;7;70;0.1;22;0.511;0.992;76;60;27;42;17;13
Luke Gazdic;27;CAN;N.J;11;0;0;0;-2;LW;700000;7.1;12;0;0;0;0;0;0;0;0;0;0;2;0;0;1;13;40;36;6;0.08;3;22;0;11;0;0;0;0;0;0;0;0
Eric Gelinas;25;CAN;COL;27;0;1;1;-4;D;1650000;11.6;12;0;0;0;0;0;0;0;1;1;13;3;0;0;11;61.2;173;60;16;0.056;1;147;0.068;34;0;0.004;0;0;0;1;0;0
Ryan Getzlaf;31;CAN;ANA;74;15;58;73;7;C;9250000;21;49;0;0;4;2;2;0;7;12;1;31;13;10;0;71;33.3;697;237;88;0.064;45;794;0.112;215;0.503;0.624;149;152;181;167;179;184
Tom Gilbert;33;USA;L.A;18;1;4;5;-4;D;1400000;15.4;6;0;0;0;1;0;0;0;0;1;3;1;0;0;7;47.9;109;44;28;0.127;2;131;0.046;29;0;0;0;0;0;0;0;0
Brian Gionta;37;USA;BUF;82;15;20;35;-11;RW;3250000;16.6;22;2;2;0;1;3;0;7;8;4;22;16;12;0;87;33.1;794;106;30;0.021;46;616;0.075;211;0.434;0.085;9;16;8;12;29;32
Stephen Gionta;33;USA;NYI;26;1;5;6;9;RW;575000;11.2;2;0;0;0;0;0;0;1;2;0;1;3;1;0;10;25.1;157;65;7;0.024;7;115;0.13;48;0.467;0.432;22;31;22;20;12;13
Mark Giordano;33;CAN;CGY;81;12;27;39;22;D;6750000;23.5;59;0;0;2;0;0;0;10;4;0;42;14;0;0;91;50;853;322;184;0.108;14;976;0.102;270;0;0;0;0;0;0;0;0
Dan Girardi;32;CAN;NYR;63;4;11;15;8;D;6000000;19.1;16;0;1;1;0;1;0;1;0;1;22;5;1;0;27;55;673;289;166;0.12;4;511;0.094;219;0;0;0;0;0;0;0;0
Zemgus Girgensons;22;LVA;BUF;75;7;9;16;-7;C;1150000;13.2;18;5;0;0;0;1;0;1;23;1;10;15;7;0;56;27.3;570;164;26;0.026;36;410;0.054;150;0.472;0.616;82;87;113;120;78;99
Claude Giroux;28;CAN;PHI;82;14;44;58;-15;C;9000000;19.1;38;0;0;4;5;0;1;4;12;0;38;51;7;3;88;40.4;628;134;28;0.023;49;1008;0.096;184;0.559;0.973;250;170;268;265;459;336
Tanner Glass;33;CAN;NYR;11;1;1;2;0;LW;1000000;10.9;17;0;0;1;0;0;0;0;2;0;2;0;0;0;4;22.8;58;61;4;0.036;5;44;0.045;20;1;0.018;1;0;1;0;0;0
Luke Glendening;27;USA;DET;74;3;11;14;-10;C;675000;12.9;26;0;0;0;0;2;0;1;13;1;3;9;8;0;42;29.1;539;238;62;0.058;31;331;0.057;177;0.54;0.545;182;158;70;58;55;45
Nikolay Goldobin;21;RUS;S.J;14;3;0;3;0;RW;925000;11.4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;14;21.4;109;5;4;0.023;9;71;0.07;36;0;0;0;0;0;0;0;0
Alex Goligoski;31;USA;ARI;82;6;30;36;-9;D;5375000;23.3;28;0;0;1;0;1;0;4;0;0;24;6;2;0;80;52.8;1072;308;143;0.071;11;876;0.094;361;0;0;0;0;0;0;0;0
Cody Goloubef;27;CAN;COL;33;0;5;5;-11;D;800000;17;25;0;0;0;0;0;0;0;1;1;16;4;0;0;13;56.7;294;89;33;0.06;0;250;0.068;63;0;0;0;0;0;0;0;0
Barclay Goodrow;23;CAN;S.J;3;0;1;1;0;RW;635000;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;30.7;17;4;1;0.029;0;8;0;3;0;0;0;0;0;0;0;0
Boyd Gordon;33;CAN;PHI;13;1;0;1;-5;C;950000;8.2;2;0;0;0;0;0;0;1;3;0;0;2;0;0;3;22.1;57;13;7;0.055;2;36;0.028;26;0.558;0.768;17;20;14;10;17;8
Josh Gorges;32;CAN;BUF;66;1;5;6;-3;D;3900000;18.4;50;0;0;1;0;0;0;0;0;0;19;4;0;0;17;55.7;725;303;108;0.08;2;499;0.056;197;0;0.001;0;1;0;0;0;0
Shayne Gostisbehere;23;USA;PHI;76;7;32;39;-21;D;925000;19.5;32;0;0;4;2;0;0;1;1;1;79;56;0;0;61;51.5;628;169;94;0.083;19;971;0.082;195;0;0;0;0;0;0;0;0
Yanni Gourde;25;CAN;T.B;20;6;2;8;-1;C;575000;15.4;8;0;0;0;0;1;0;5;2;0;0;5;1;0;22;27.1;142;22;3;0.013;12;163;0.067;31;0.368;0.629;18;30;26;52;16;21
Michael Grabner;29;AUT;NYR;76;27;13;40;22;RW;1650000;14.1;10;2;1;0;9;1;0;14;24;1;8;34;8;0;87;30.8;585;85;34;0.03;73;479;0.113;200;0.538;0.013;1;0;5;5;1;1
Petter Granberg;24;SWE;NSH;10;0;0;0;0;D;575000;9.6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;4;46.5;51;36;9;0.095;0;45;0.111;15;0;0;0;0;0;0;0;0
Markus Granlund;23;FIN;VAN;69;19;13;32;-19;C;850000;17.3;14;1;4;0;1;1;1;11;11;7;10;18;2;2;72;27.4;566;57;11;0.011;62;557;0.084;183;0.396;0.085;9;18;10;16;21;27
Mikael Granlund;24;FIN;MIN;81;26;43;69;23;C;3200000;18.8;12;2;2;1;0;0;0;21;18;3;8;16;7;3;122;28.8;740;112;50;0.037;69;750;0.125;155;0.485;0.021;4;4;1;4;11;9
Derek Grant;26;CAN;BUF;46;0;4;4;-5;C;650000;9.8;24;0;0;0;0;0;0;0;2;0;2;7;2;0;27;30.2;297;82;29;0.054;13;151;0.046;82;0.523;0.772;91;94;64;45;46;44
Tyler Graovac;23;CAN;MIN;52;7;2;9;7;C;600000;9.8;10;1;0;0;1;1;0;4;10;1;2;6;2;0;27;24.7;287;77;15;0.028;26;192;0.094;48;0.475;0.801;30;36;69;70;64;74
Kevin Gravel;24;USA;L.A;49;1;6;7;3;D;667500;14.1;6;0;0;0;0;0;0;1;0;0;19;8;0;0;25;52.9;263;144;65;0.12;1;353;0.065;64;0;0;0;0;0;0;0;0
Mike Green;31;CAN;DET;72;14;22;36;-20;D;6000000;23.4;40;1;0;2;3;1;0;7;5;1;41;13;2;0;63;45.5;750;199;92;0.066;19;807;0.087;215;0;0;0;0;0;0;0;0
Andy Greene;34;USA;N.J;66;4;9;13;-16;D;5000000;21.6;8;0;0;1;0;0;0;3;2;0;28;18;1;0;34;49.1;770;183;125;0.087;9;604;0.075;229;0;0;0;0;0;0;0;0
Matt Greene;33;USA;L.A;26;1;1;2;3;D;2500000;13.2;19;0;0;1;0;0;0;0;0;0;5;2;0;0;7;69.1;157;118;27;0.089;1;144;0.063;46;0;0;0;0;0;0;0;0
A.J. Greer;20;CAN;COL;5;0;1;1;-2;LW;725000;13.7;4;0;0;0;0;0;0;0;0;0;0;4;1;0;3;18.8;32;11;3;0.053;5;35;0.029;4;0;0;0;0;0;0;0;0
Alex Grenier;25;CAN;VAN;3;0;0;0;-1;RW;600000;6.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;58;6;3;0;0;0;9;0;2;1;0.1;0;0;0;0;2;0
Seth Griffith;23;CAN;FLA;24;0;5;5;6;C;625000;12.7;8;0;0;0;0;0;0;0;2;0;0;2;3;0;14;28.5;148;43;5;0.021;13;183;0.077;41;0.25;0.028;0;0;1;0;1;6
Mikhail Grigorenko;22;RUS;COL;75;10;13;23;-14;C;1300000;14.1;18;2;0;0;1;2;0;5;6;1;11;9;6;0;52;31.6;544;71;26;0.027;23;490;0.069;143;0.578;0.203;37;25;29;21;45;35
Rocco Grimaldi;23;USA;COL;4;0;1;1;-3;C;925000;11;2;0;0;0;0;0;0;0;1;0;0;4;1;0;5;20.3;28;7;4;0.075;7;24;0.042;7;0;0;0;0;0;0;0;0
Nicklas Grossmann;31;SWE;CGY;3;0;0;0;-4;D;NA;13;2;0;0;0;0;0;0;0;0;0;1;0;0;0;2;50.3;22;10;1;0.026;0;14;0.071;5;0;0;0;0;0;0;0;0
Eric Gryba;28;CAN;EDM;40;2;4;6;-5;D;950000;16.1;65;0;0;0;0;0;0;2;0;0;12;6;0;0;27;47.6;361;262;47;0.076;7;317;0.057;120;0;0;0;0;0;0;0;0
Matt Grzelcyk;22;USA;BOS;2;0;0;0;0;D;792500;12.5;2;0;0;0;0;0;0;0;0;0;1;1;0;0;2;48;16;3;1;0.038;0;24;0.083;6;0;0;0;0;0;0;0;0
Radko Gudas;26;CZE;PHI;67;6;17;23;8;D;4000000;19.3;93;0;0;1;0;1;0;4;1;0;42;19;1;0;50;61.9;596;500;124;0.102;6;606;0.089;174;0;0;0;0;0;0;0;0
Erik Gudbranson;24;CAN;VAN;30;1;5;6;-14;D;3500000;20.3;18;0;0;0;0;0;0;1;0;0;18;3;0;0;19;55.1;340;130;44;0.073;2;259;0.062;130;0;0;0;0;0;0;0;0
Jake Guentzel;22;USA;PIT;40;16;17;33;7;C;667500;15.9;10;1;2;0;2;4;0;7;7;3;1;15;8;0;47;20.8;333;89;18;0.03;52;396;0.116;109;0.471;0.025;1;1;3;5;4;3
Brendan Guhle;19;CAN;BUF;3;0;0;0;1;D;667500;16.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;55.3;30;11;8;0.151;1;24;0.083;4;0;0;0;0;0;0;0;0
Carl Gunnarsson;30;SWE;STL;56;0;6;6;-5;D;2900000;13.6;4;0;0;0;0;0;0;0;0;0;7;3;0;0;22;48.4;310;114;68;0.111;0;297;0.054;73;0;0;0;0;0;0;0;0
Denis Gurianov;19;RUS;DAL;1;0;0;0;-1;RW;NA;13.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;3;0.188;0;1;0;3;0;0;0;0;0;0;0;0
Carl Hagelin;28;SWE;PIT;61;6;16;22;10;LW;3667000;15.5;16;0;0;1;2;0;0;3;13;0;14;28;7;2;64;30.5;500;106;24;0.026;36;494;0.079;158;0.5;0.006;1;0;0;0;2;3
Robert Hagg;21;SWE;PHI;1;0;0;0;0;D;925000;21.3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;41.8;11;7;3;0.176;0;11;0.091;3;0;0;0;0;0;0;0;0
Ron Hainsey;35;USA;CAR;72;4;13;17;-8;D;2500000;22;21;0;0;1;2;0;0;1;1;0;21;17;0;0;32;53.6;868;235;120;0.075;4;692;0.074;293;0;0;0;0;0;0;0;0
Micheal Haley;30;CAN;S.J;58;2;10;12;6;C;625000;9.1;128;0;1;1;0;0;0;0;3;2;4;5;3;0;21;26.2;235;296;23;0.045;18;240;0.092;73;0.443;0.328;20;16;24;37;22;30
Taylor Hall;25;CAN;N.J;72;20;33;53;-9;LW;6000000;19.2;32;2;0;0;6;2;0;10;18;0;22;77;11;3;107;27.5;604;122;31;0.03;93;810;0.085;141;0.444;0.013;1;1;0;3;7;6
Dan Hamhuis;34;CAN;DAL;79;1;15;16;-7;D;4500000;19.3;23;0;0;0;0;1;0;0;4;1;30;4;1;1;42;47.3;777;217;100;0.068;6;760;0.075;245;0;0;0;0;0;0;0;0
Dougie Hamilton;23;CAN;CGY;81;13;37;50;12;D;5500000;19.7;64;2;0;2;0;0;0;9;6;0;45;29;0;0;142;46.7;671;226;94;0.073;19;919;0.09;211;0;0;0;0;0;0;0;0
Freddie Hamilton;24;CAN;CGY;26;2;0;2;-3;C;575000;9.8;8;0;0;0;0;0;1;1;2;0;1;5;0;3;19;26.9;121;55;1;0.005;13;91;0.055;30;0.595;0.573;35;29;30;10;10;12
Travis Hamonic;26;CAN;NYI;49;3;11;14;-21;D;4875000;20.4;60;0;0;2;1;0;0;0;1;0;29;5;0;0;39;55.7;610;230;108;0.092;5;423;0.08;216;0;0;0;0;0;0;0;0
Noah Hanifin;19;USA;CAR;81;4;25;29;-19;D;925000;17.8;26;0;0;3;1;0;0;0;5;0;47;24;1;0;31;50.4;640;156;73;0.059;7;759;0.082;198;0;0;0;0;0;0;0;0
Joel Hanley;25;CAN;MTL;7;0;0;0;-3;D;600000;10.1;4;0;0;0;0;0;0;0;0;0;2;3;0;0;0;59.6;27;16;4;0.07;0;29;0.034;8;0;0;0;0;0;0;0;0
Markus Hannikainen;23;FIN;CBJ;10;1;1;2;0;LW;742500;9.1;6;0;0;0;1;0;0;0;1;0;0;2;0;0;5;38.3;40;27;5;0.068;2;41;0.098;8;0;0;0;0;0;0;0;0
Jannik Hansen;30;DNK;S.J;43;8;12;20;2;RW;3000000;16;34;1;0;0;1;0;0;6;4;2;13;6;0;1;47;29.9;353;94;15;0.022;32;323;0.102;115;0;0.001;0;0;0;0;0;1
Martin Hanzal;29;CZE;ARI;71;20;19;39;-17;C;3500000;17.7;53;6;1;0;1;5;1;6;19;2;5;11;19;5;108;28.9;611;257;58;0.052;90;669;0.088;216;0.564;0.94;267;254;254;165;246;174
Shane Harper;27;USA;FLA;14;2;1;3;-1;RW;650000;10.3;18;0;0;1;0;1;0;0;0;0;5;3;1;0;4;31.5;67;39;0;0;5;61;0.049;21;0;0;0;0;0;0;0;0
Ben Harpur;21;CAN;OTT;6;0;0;0;-1;D;655000;17.8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;81.3;41;8;3;0.036;0;44;0.091;12;0;0;0;0;0;0;0;0
Scott Harrington;23;CAN;CBJ;22;1;2;3;3;D;632500;13;10;0;0;0;0;0;0;1;0;0;2;7;0;0;7;47.3;144;55;24;0.089;3;132;0.106;33;0;0;0;0;0;0;0;0
Ryan Hartman;22;USA;CHI;76;19;12;31;13;LW;832500;12.8;70;3;0;2;4;0;0;10;18;1;14;27;3;1;106;28.6;452;223;30;0.036;61;539;0.082;108;0.403;0.074;5;5;2;9;18;23
Scott Hartnell;34;CAN;CBJ;78;13;24;37;14;LW;5000000;12.1;63;2;0;2;2;5;0;2;12;2;17;19;9;0;45;25.3;389;200;40;0.055;50;509;0.094;105;0.5;0.007;0;0;0;1;3;2
Garnet Hathaway;25;USA;CGY;26;1;4;5;0;RW;722500;9.1;44;0;0;0;0;1;0;0;4;2;0;3;4;0;9;25.5;106;118;14;0.064;11;78;0.103;32;0.526;0.09;1;2;7;4;2;3
Erik Haula;25;FIN;MIN;72;15;11;26;5;C;1050000;13.8;28;2;1;1;1;1;0;9;13;3;19;10;3;3;83;33.6;496;105;38;0.041;35;514;0.082;115;0.539;0.763;115;124;170;126;119;96
John Hayden;21;USA;CHI;12;1;3;4;3;LW;925000;11.7;4;0;0;0;1;0;0;0;5;1;1;2;4;0;9;27;62;50;2;0.019;12;63;0.095;12;0;0;0;0;0;0;0;0
Jimmy Hayes;27;USA;BOS;58;2;3;5;-3;RW;2300000;9.2;29;0;0;0;0;2;0;0;9;1;7;15;7;3;32;27.9;257;116;10;0.022;24;281;0.06;61;0.255;0.111;0;10;5;13;9;18
Kevin Hayes;24;USA;NYR;76;17;32;49;10;C;2600000;16.6;18;1;0;2;3;3;0;8;9;2;12;24;8;4;84;29.8;658;88;30;0.024;56;538;0.132;228;0.457;0.827;195;232;141;181;106;113
Victor Hedman;26;SWE;T.B;79;16;56;72;3;D;4250000;24.5;47;0;0;4;2;2;0;8;4;0;72;17;4;0;69;49.7;901;273;132;0.083;19;995;0.118;229;0;0;0;0;0;0;0;0
Tim Heed;25;SWE;S.J;1;0;0;0;0;D;775000;16.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;63;5;2;2;0.2;0;5;0;1;0;0;0;0;0;0;0;0
Danton Heinen;21;CAN;BOS;8;0;0;0;-3;C;767500;13.2;2;0;0;0;0;0;0;0;1;0;0;3;1;0;2;46.6;45;10;2;0.024;3;46;0;10;0;0;0;0;0;0;0;0
Seth Helgeson;26;USA;N.J;9;1;0;1;2;D;600000;13.5;15;0;0;0;1;0;0;0;0;0;1;2;0;0;0;53;61;45;11;0.099;0;48;0.083;11;0;0;0;0;0;0;0;0
Darren Helm;29;CAN;DET;50;8;9;17;-6;C;5000000;15.3;20;0;0;1;4;0;0;3;10;1;18;18;3;1;47;27.9;413;109;18;0.025;33;345;0.093;131;0.514;0.575;62;67;68;72;86;65
Ales Hemsky;33;CZE;DAL;15;4;3;7;-1;RW;4000000;14.4;0;0;0;0;1;0;0;3;1;0;3;4;0;0;22;29.8;93;5;4;0.022;11;106;0.066;28;0;0;0;0;0;0;0;0
Matt Hendricks;35;USA;EDM;42;4;3;7;-3;LW;1850000;10.7;29;0;0;0;1;0;0;3;4;0;2;10;5;0;21;41.2;219;148;39;0.083;11;168;0.071;67;0.569;0.495;71;51;29;32;32;17
Samuel Henley;23;CAN;COL;1;1;0;1;1;C;590000;5.3;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;53;6;4;0;0;0;4;0.25;1;0;0.5;0;1;0;0;0;0
Adam Henrique;26;CAN;N.J;82;20;20;40;-20;C;4500000;18.1;38;2;0;0;7;3;2;6;17;1;12;38;15;5;54;23.2;763;194;68;0.049;70;678;0.093;241;0.482;0.792;201;239;168;183;216;205
Tomas Hertl;23;CZE;S.J;49;10;12;22;-8;C;2800000;17.2;14;2;0;0;0;1;0;7;10;3;12;10;8;2;55;31.2;363;132;42;0.056;47;437;0.073;118;0.517;0.585;86;83;76;82;83;64
Thomas Hickey;27;CAN;NYI;76;4;16;20;-1;D;2250000;17.5;35;0;0;0;1;1;0;2;5;0;20;10;3;0;49;47.6;741;228;103;0.071;11;643;0.092;252;0;0;0;0;0;0;0;0
Vinnie Hinostroza;22;USA;CHI;49;6;8;14;-1;LW;667500;12;17;1;1;0;0;0;0;4;2;1;6;6;2;0;59;28.6;319;68;19;0.034;28;282;0.064;89;0.398;0.329;17;23;25;43;26;37
Niklas Hjalmarsson;29;SWE;CHI;73;5;13;18;12;D;4100000;21.5;20;0;0;3;0;0;0;2;1;0;35;6;1;0;18;49;858;224;181;0.117;7;639;0.092;280;0;0;0;0;0;0;0;0
Joshua Ho-Sang;20;CAN;NYI;21;4;6;10;1;RW;925000;16.4;12;1;0;1;0;1;0;1;1;1;1;1;1;0;17;28.9;156;18;2;0.007;7;181;0.099;58;0;0.008;0;1;0;0;0;1
Mike Hoffman;27;CAN;OTT;74;26;35;61;17;LW;3800000;17.6;51;1;1;7;9;1;0;7;15;3;53;52;10;0;91;35.9;543;114;21;0.021;56;758;0.116;150;0.571;0.015;0;0;6;3;6;6
Nick Holden;29;CAN;NYR;80;11;23;34;13;D;1650000;20.6;35;0;0;4;1;0;1;5;2;0;29;16;0;1;36;45.3;864;288;88;0.055;12;734;0.108;271;0;0.001;0;1;0;0;0;0
Peter Holland;25;CAN;ARI;48;5;7;12;-16;C;1300000;12.7;22;0;0;0;0;0;1;4;2;3;4;7;5;3;55;28.3;341;68;9;0.015;28;301;0.063;92;0.454;0.849;67;96;85;89;76;89
Korbinian Holzer;28;DEU;ANA;32;2;5;7;0;D;700000;13.5;23;0;0;0;0;0;0;2;0;0;2;1;0;0;11;45.4;233;129;34;0.078;3;153;0.098;47;0;0;0;0;0;0;0;0
Julius Honka;21;FIN;DAL;16;1;4;5;-4;D;925000;16.8;4;0;0;0;0;0;0;1;0;0;7;3;0;0;24;52.8;110;28;15;0.072;1;158;0.076;40;0;0;0;0;0;0;0;0
Patric Hornqvist;29;SWE;PIT;70;21;23;44;16;RW;4750000;15.9;28;4;0;0;1;3;1;12;29;2;11;25;27;2;127;24.9;457;317;62;0.071;111;767;0.11;129;0.273;0.009;0;0;1;2;2;6
Bo Horvat;21;CAN;VAN;81;20;32;52;-7;C;832500;18;27;3;2;0;0;2;0;13;22;7;3;8;4;4;110;24.2;813;134;41;0.029;78;676;0.101;256;0.505;0.963;269;286;239;224;248;232
Marian Hossa;37;SVK;CHI;73;26;19;45;7;RW;4000000;16.8;8;2;0;6;3;0;0;15;18;1;33;18;1;1;95;28.7;631;76;36;0.031;56;572;0.096;184;0.357;0.012;0;2;0;2;5;5
Quinton Howden;24;CAN;WPG;5;0;0;0;1;C;650000;8.7;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;26;17;4;0;0;2;20;0.05;1;0;0.054;0;0;0;0;0;2
Marek Hrivik;25;SVK;NYR;16;0;2;2;-3;LW;600000;10.4;2;0;0;0;0;0;0;0;0;0;4;3;0;0;8;28.7;75;26;5;0.035;6;96;0.042;19;0.4;0.544;6;12;13;22;13;14
Jonathan Huberdeau;23;CAN;FLA;31;10;16;26;-2;LW;4000000;17.9;13;3;0;1;2;0;0;4;6;0;17;19;2;1;41;27.4;255;39;7;0.017;35;383;0.094;74;0.444;0.016;0;1;0;0;4;4
Jiri Hudler;32;CZE;DAL;32;3;8;11;-3;RW;2000000;11.9;4;0;0;0;2;0;0;1;5;0;0;3;5;0;14;23.3;192;16;3;0.009;11;202;0.069;64;0.6;0.016;0;1;1;0;2;1
Charles Hudon;22;CAN;MTL;3;0;2;2;1;LW;575000;11.8;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;31.3;19;13;0;0;1;18;0.111;7;0;0;0;0;0;0;0;0
Brad Hunt;28;CAN;NSH;12;1;5;6;-1;D;600000;14.5;2;0;0;1;0;0;0;0;0;0;9;1;0;0;4;46.5;91;5;3;0.019;1;77;0.156;17;0;0;0;0;0;0;0;0
Matt Hunwick;31;USA;TOR;72;1;18;19;8;D;1200000;17.9;18;0;0;0;0;1;0;0;1;0;27;30;1;0;14;57.3;692;199;90;0.066;3;555;0.081;239;0;0;0;0;0;0;0;0
Ben Hutton;23;CAN;VAN;71;5;14;19;-22;D;925000;20.5;31;2;0;1;0;0;0;2;2;1;38;10;0;0;79;48.3;684;184;106;0.087;14;675;0.073;232;0;0;0;0;0;0;0;0
Zach Hyman;24;CAN;TOR;82;10;18;28;2;C;900000;16.7;30;1;0;0;4;3;0;2;31;2;3;45;23;8;44;23.4;820;182;43;0.027;64;676;0.075;296;0.379;0.021;5;15;3;0;3;3
Jarome Iginla;39;CAN;COL;80;14;13;27;-30;RW;5000000;15.1;70;0;1;5;3;1;0;4;4;4;39;21;7;0;79;34.3;561;211;21;0.021;52;647;0.066;150;0.533;0.026;1;2;2;3;13;9
Matt Irwin;29;CAN;NSH;74;3;11;14;15;D;575000;16.3;26;0;0;0;1;0;0;2;3;0;29;19;0;0;47;53.8;602;262;121;0.106;2;549;0.087;132;0;0;0;0;0;0;0;0
Jaromir Jagr;44;CZE;FLA;82;16;30;46;2;RW;4000000;17;56;1;0;2;2;3;0;8;20;3;14;23;21;4;96;24.1;618;81;4;0.004;82;931;0.082;152;0.5;0.001;0;0;1;1;0;0
Mark Jankowski;22;CAN;CGY;1;0;0;0;0;C;925000;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;5;0;0;0.625;1;2;0;1;3;2;0
Calle Jarnkrok;25;SWE;NSH;81;15;16;31;-1;C;1700000;15.7;25;2;0;0;1;1;0;11;9;4;10;13;13;0;85;29;617;104;29;0.025;46;566;0.09;157;0.494;0.686;156;195;176;145;120;123
Dmitrij Jaskin;23;CZE;STL;51;1;10;11;5;RW;1000000;11.5;18;0;0;1;0;0;0;0;8;0;6;2;6;3;30;26.9;223;135;19;0.043;22;272;0.077;44;0.5;0.02;2;1;1;2;2;2
Boone Jenner;23;CAN;CBJ;82;18;16;34;14;C;2900000;16.1;52;0;1;0;5;1;0;11;18;2;18;50;8;0;115;32.2;699;350;80;0.06;78;682;0.082;245;0.5;0.137;37;39;16;24;39;29
Nick Jensen;26;USA;DET;49;4;9;13;-7;D;600000;17.6;12;1;0;1;0;0;0;2;6;0;26;5;0;0;22;47;433;123;56;0.07;5;385;0.081;126;0;0;0;0;0;0;0;0
Nicklas Jensen;23;DNK;NYR;7;0;0;0;-2;RW;600000;9.2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;5;44;26;9;2;0.048;1;38;0.053;10;0;0;0;0;0;0;0;0
